Date Time,Site Name,Value,Averaging Period,Units,California State Standard,National Ambient Air Quality Standard by U.S. EPA
10/24/19 18:00,Central Los Angeles,0.5,1-hr,pphm,9,N/A
10/24/19 19:00,Central Los Angeles,0.1,1-hr,pphm,9,N/A
10/24/19 20:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/24/19 21:00,Central Los Angeles,0.1,1-hr,pphm,9,N/A
10/24/19 22:00,Central Los Angeles,0.1,1-hr,pphm,9,N/A
10/24/19 23:00,Central Los Angeles,0.1,1-hr,pphm,9,N/A
10/25/19 0:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/25/19 1:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/25/19 2:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/25/19 3:00,Central Los Angeles,0.1,1-hr,pphm,9,N/A
10/25/19 4:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/25/19 5:00,Central Los Angeles,0.1,1-hr,pphm,9,N/A
10/25/19 6:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/25/19 7:00,Central Los Angeles,0.3,1-hr,pphm,9,N/A
10/25/19 8:00,Central Los Angeles,0.7,1-hr,pphm,9,N/A
10/25/19 9:00,Central Los Angeles,2.3,1-hr,pphm,9,N/A
10/25/19 10:00,Central Los Angeles,3.8,1-hr,pphm,9,N/A
10/25/19 11:00,Central Los Angeles,4.2,1-hr,pphm,9,N/A
10/25/19 12:00,Central Los Angeles,5.2,1-hr,pphm,9,N/A
10/25/19 18:00,Central Los Angeles,2.6,1-hr,pphm,9,N/A
10/25/19 19:00,Central Los Angeles,1,1-hr,pphm,9,N/A
10/25/19 20:00,Central Los Angeles,0.4,1-hr,pphm,9,N/A
10/25/19 21:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/25/19 22:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/25/19 23:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/26/19 0:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/26/19 1:00,Central Los Angeles,0.3,1-hr,pphm,9,N/A
10/26/19 2:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/26/19 3:00,Central Los Angeles,0.1,1-hr,pphm,9,N/A
10/26/19 4:00,Central Los Angeles,0.1,1-hr,pphm,9,N/A
10/26/19 5:00,Central Los Angeles,0.1,1-hr,pphm,9,N/A
10/26/19 6:00,Central Los Angeles,0.2,1-hr,pphm,9,N/A
10/26/19 7:00,Central Los Angeles,0.5,1-hr,pphm,9,N/A
10/26/19 8:00,Central Los Angeles,1.4,1-hr,pphm,9,N/A
10/26/19 9:00,Central Los Angeles,2.8,1-hr,pphm,9,N/A
10/26/19 10:00,Central Los Angeles,3.4,1-hr,pphm,9,N/A
10/26/19 11:00,Central Los Angeles,4.6,1-hr,pphm,9,N/A
10/26/19 12:00,Central Los Angeles,5.4,1-hr,pphm,9,N/A
10/26/19 13:00,Central Los Angeles,5.3,1-hr,pphm,9,N/A
10/26/19 14:00,Central Los Angeles,4.9,1-hr,pphm,9,N/A
10/26/19 15:00,Central Los Angeles,4.9,1-hr,pphm,9,N/A
